,topic,tweet_volume
0,#BTS_Butter,851892.0
1,Tucker Carlson,174955.0
2,Real Madrid,162759.0
3,billie,124291.0
4,Fox News,122944.0
5,NFTs,109671.0
6,Flowers,87727.0
7,The CDC,65932.0
8,Fields,60105.0
9,Willow,57005.0
10,Sega,43004.0
11,Marcelo,41779.0
12,Big Tech,22016.0
13,Mario Party,20753.0
14,New CDC,19334.0
15,Rose McGowan,18621.0
16,aaron taylor johnson,18352.0
17,PERCY JACKSON,16587.0
18,#MichaelJacksonWasFramed,15781.0
19,The IRS,15171.0
20,SNKRS,14605.0
21,Pulisic,13274.0
22,Babe Ruth,12878.0
23,Joe Rogan,10567.0
24,#WhyImSingle,
25,Real ID,
26,#YIAYgame,
27,Steve Harvey,
28,lightning mcqueen crocs,
29,Fear Factor,
30,James Carville,
31,Chris Simms,
32,annabeth,
33,Azpi,
34,Nick Fuentes,
35,Miitopia,
36,Newsradio,
37,Flintstones,
38,Victor Hill,
39,Thanks CDC,
40,Pioneer League,
41,logan lerman,
42,Sewell,
43,rick riordan,
44,Chelsea Green,
45,Scherff,
46,Hank Aaron,
47,Xerath,
48,Tony Blair,
