,topic,tweet_volume
0,#BTSARMY,1109896.0
1,#방탄소년단,918893.0
2,#BTS_Butter,829006.0
3,Chelsea,279495.0
4,billie,122140.0
5,#RMACHE,78202.0
6,LGBT,51864.0
7,Lewica,46040.0
8,Marcelo,41224.0
9,#HanKer,24628.0
10,#WiezieńLabiryntuMaraton,
11,Indonezji,
12,#hotelparadise,
13,#Minela20,
14,#BEŁWID,
15,Monako,
16,Kwaśniewski,
17,Budka,
18,Czarzasty,
19,PiSem,
20,Hartwich,
21,Polsacie,
22,Platformy,
23,PiSowi,
24,Gowinem,
25,Sejmu,
26,Widzewa,
27,Biedroń,
28,Czarzastego,
29,Brukseli,
30,Opozycja,
31,Morawiecki,
32,Jesteście,
33,Wstyd,
34,Premiera,
35,Sejmie,
36,panią,
37,Pawłowicz,
38,Wrocławia,
39,Ziobrą,
40,Dworczyk,
41,PZPR,
42,Zandberg,
43,Polek,
44,#babciakasia,
45,#FunduszOdbudowy,
