,topic,tweet_volume
0,#BTS_Butter,851892.0
1,Tucker Carlson,174955.0
2,Real Madrid,162759.0
3,billie,124160.0
4,Fox News,122944.0
5,Flowers,87727.0
6,The CDC,65932.0
7,Fields,60163.0
8,Willow,57150.0
9,Sega,42971.0
10,Marcelo,41779.0
11,Big Tech,22016.0
12,Mario Party,20753.0
13,New CDC,19334.0
14,Rose McGowan,18621.0
15,aaron taylor johnson,18307.0
16,PERCY JACKSON,16587.0
17,The IRS,15171.0
18,SNKRS,14605.0
19,Pulisic,13274.0
20,Babe Ruth,12895.0
21,Joe Rogan,10567.0
22,#WhyImSingle,
23,Real ID,
24,#YIAYgame,
25,Steve Harvey,
26,Lightning McQueen crocs,
27,Fear Factor,
28,James Carville,
29,Chris Simms,
30,annabeth,
31,Azpi,
32,Nick Fuentes,
33,Miitopia,
34,Newsradio,
35,Flintstones,
36,Victor Hill,
37,Thanks CDC,
38,logan lerman,
39,Pioneer League,
40,Sewell,
41,rick riordan,
42,Chelsea Green,
43,Scherff,
44,Hank Aaron,
45,Xerath,
46,Tony Blair,
47,Fairness Doctrine,
