,topic,tweet_volume
0,#방탄소년단,918284.0
1,#BTS_Butter,843627.0
2,1 Bitcoin,141857.0
3,billie,121677.0
4,Delhi Govt,81096.0
5,Jordan,80551.0
6,SPOTIFY KING JIMIN,68597.0
7,Donation,66027.0
8,Delhi HC,53219.0
9,हाई कोर्ट,46601.0
10,Hazard,40624.0
11,Marcelo,40461.0
12,SSRians Pray 4 Better India,40303.0
13,Donating,39996.0
14,Congratulations Jimin,39240.0
15,CHARTBUSTER SEETI MAAR,38462.0
16,#RCBvsDC,25714.0
17,#PlayBold,24710.0
18,Shaw,21953.0
19,Mishra,21196.0
20,Pant,20574.0
21,Zidane,19091.0
22,KINDEST ACTOR AKSHAY KUMAR,18902.0
23,Siraj,17241.0
24,Pyare Khan,14121.0
25,#MahaVaccination,10575.0
26,#AbdeVilliers,
27,Hetmyer,
28,Stoinis,
29,Yorkers,
30,Jamieson,
31,Hetty,
32,MPLADS,
33,Harshal,
34,Avesh Khan,
35,Captaincy,
36,Sundar,
37,Azpi,
38,ponting,
39,Sams,
40,Agartala,
41,Arfa,
42,Royal Challengers Bangalore,
43,Rabada,
44,Patidar,
45,charan,
46,Ishant,
47,Steve Smith,
48,DUSK BLUE,
49,Binga,
