,topic,tweet_volume
0,#BTSARMY,1098302.0
1,#방탄소년단,910140.0
2,#BTS_Butter,834239.0
3,١٥ رمضان,137209.0
4,15رمضان,137134.0
5,SPOTIFY KING JIMIN,68383.0
6,#مكه_الان,41494.0
7,#سعاد_جابر,41263.0
8,#متحرش_في_امه,24155.0
9,اليوم الثلاثاء,20499.0
10,#وفاه_ابو_وليد,19137.0
11,#الرياض_الان,17317.0
12,تشيلسي,14859.0
13,#مقلب_رامز_بريم_عبدالله,14223.0
14,#الحريه_لسمير_صفير,12422.0
15,#ولي_العهد_في_لقاء_خاص,10665.0
16,#امطار_مكه,10128.0
17,#مسابقه_كلنا_الطايف,
18,#تهميش_معيدو_الجوف,
19,فيصل بن بندر بن عبدالعزيز,
20,#محمد_بن_سلمان_علي_السعوديه,
21,#باركود15,
22,الريال,
23,مارسيلو,
24,توخيل,
25,هازارد,
26,زيدان,
27,جيل الثمانينات,
28,سامي الجابر,
29,حي الطريف,
30,نور علي,
31,جيمس,
32,كانتي,
33,صوت المطر,
34,صوت الرعد,
35,#ممنوع_التجول__15,
36,#انقذوا_فهد_1,
37,#ناصر_الدوسري,
38,#خالد_عبدالرحمن,
39,#عهود_السامر_ممنوع_التجول,
40,#ويش_يسعد_الرجل,
41,#هلالي_صريح,
42,#احمد__الشقيري,
43,#مسلسل_منتصف_الليل15,
44,#الديره15,
45,#شكرا_هتان_زايد,
46,#مولد_الحسن,
47,#الهلال_اجمك,
48,#بريك_علي_الدوسري,
49,#انقذوا_هاني,
