,topic,tweet_volume
0,Corona,279159.0
1,Chelsea,213904.0
2,Insta,139933.0
3,billie,116713.0
4,Over 2,88981.0
5,Cheers,41564.0
6,Echt,36133.0
7,Mensen,35957.0
8,Human Rights Watch,26194.0
9,Laat,11452.0
10,Mooi,10227.0
11,Lekker,10216.0
12,#thestreamers,
13,#koningsdag2021,
14,#Vondelpark,
15,#lldl,
16,#LangLeveDeLiefde,
17,Vaccinaties in Nederland,
18,Halsema,
19,Jolanda,
20,Amalia,
21,Proost,
22,Emine,
23,ProRail,
24,weghorst,
25,Spaarne,
26,Politie,
27,Willem,
28,Friet,
29,Griekenland,
30,timber,
31,Tompoes,
32,Prinsengracht,
33,Emmeloord,
34,Oosterpark,
35,Genieten,
36,Haarlem,
37,Blauw,
38,Jordaan,
39,Wit-Rusland,
40,Jammer,
41,Beatrix,
42,Hoorn,
43,Sander,
44,Outbreak Management Team,
45,Heerlijk,
46,Zorg,
47,The Netherlands,
48,Zalig,
49,Soestdijk,
