,topic,tweet_volume
0,#BTSARMY,1109252.0
1,#방탄소년단,918893.0
2,#BTS_Butter,829428.0
3,Apple,479525.0
4,Zoom,162810.0
5,taylor,160221.0
6,billie,122140.0
7,Sputnik,107397.0
8,Zhongli,83513.0
9,Понимаю,13050.0
10,#BTSнаВКФЕСТ,
11,#лягуха,
12,Словакии,
13,володина,
14,Котик,
15,хммм,
16,Правильно,
17,Хватит,
18,справа,
19,Европу,
20,РЫДАЮ,
21,донбассу,
22,Решил,
23,ростове,
24,Сложно,
25,Красивый,
26,академик черский,
27,Боже,
28,Серьезно,
29,проще,
30,Ахметова,
31,Знаешь,
32,Отдыхай,
33,Абсолютно,
34,в любви,
35,Оооо,
36,справедливо,
37,лера,
38,чжунли,
39,Обязательно,
40,Выздоравливай,
41,Классно,
42,Russians,
43,бразилии,
44,австралии,
45,Отдохни,
46,Смотря,
47,СЧИТАЮ,
48,Извиняюсь,
49,Многие,
