,topic,tweet_volume
0,John Kerry,176895.0
1,Tucker Carlson,174955.0
2,Real Madrid,162104.0
3,billie,124160.0
4,Fox News,123125.0
5,Flowers,87727.0
6,The CDC,65932.0
7,Fields,60163.0
8,Willow,57005.0
9,Sega,43004.0
10,Marcelo,41779.0
11,NFL Draft,33088.0
12,Big Tech,22016.0
13,Mario Party,20753.0
14,New CDC,19334.0
15,Rose McGowan,18621.0
16,aaron taylor johnson,18307.0
17,PERCY JACKSON,16587.0
18,SNKRS,14605.0
19,#WearAMask,14405.0
20,#VaccinesWork,13783.0
21,Pulisic,13274.0
22,Babe Ruth,12895.0
23,Joe Rogan,10567.0
24,#Disneyland,
25,#RECALLnewsom,
26,Real ID,
27,Steve Harvey,
28,Lightning McQueen crocs,
29,Fear Factor,
30,James Carville,
31,Chris Simms,
32,annabeth,
33,Azpi,
34,Nick Fuentes,
35,Miitopia,
36,Newsradio,
37,Flintstones,
38,Victor Hill,
39,Thanks CDC,
40,Pioneer League,
41,logan lerman,
42,Sewell,
43,rick riordan,
44,Chelsea Green,
45,Scherff,
