,topic,tweet_volume
0,Chelsea,221321.0
1,billie,115642.0
2,Bayern,113375.0
3,Aries,70931.0
4,Virgo,64577.0
5,Burkina Faso,52624.0
6,Mandi,50405.0
7,Roberto Fraile,41358.0
8,Sega,40728.0
9,Marcelo,37505.0
10,Monteros,27714.0
11,Camille,16641.0
12,Tuchel,15978.0
13,Antalya,15909.0
14,Werner,15793.0
15,generalitat,13996.0
16,Sandokan,11613.0
17,#yoveosálvame,11508.0
18,Del 1 al 10,10493.0
19,Málaga,10213.0
20,Géminis,10142.0
21,Villarreal,
22,#CyACartuja,
23,Juanma,
24,#Andalucía,
25,#cierrertve,
26,Lydia,
27,#PcComponentesLoPetaConIntel,
28,Casa Real,
29,Xerath,
30,Mónica López,
31,El Lute,
32,Laura Fa,
33,Beatriz de Vicente,
34,Tavares,
35,Hala Madrid,
36,"""Clandestino""",
37,Bardem,
38,Lequio,
39,Azpilicueta,
40,Descansen,
41,Efes,
42,VAMOS REAL,
43,TSJC,
44,Rohan Dennis,
45,Mossos,
46,Tauro,
47,Love of Lesbian,
48,FRAP,
49,jungly,
