,topic,tweet_volume
0,Tucker Carlson,163069.0
1,billie,116471.0
2,High Court,95661.0
3,Wireless,70192.0
4,Neymar,65048.0
5,Hazard,38665.0
6,Marcelo,36561.0
7,olivia rodrigo,20027.0
8,Halal,19860.0
9,Watermelon,15299.0
10,Ajax,15156.0
11,aaron taylor johnson,14464.0
12,Rumour,12455.0
13,John Lewis,12380.0
14,#MichaelJacksonWasFramed,10971.0
15,Colreevy,
16,Tony Blair,
17,#boohootreats,
18,Envoi Allen,
19,#PunchestownFestival,
20,Cheltenham,
21,Chacun Pour Soi,
22,Arlene Foster,
23,Peter Stringfellow,
24,#YIAYgame,
25,Allaho,
26,Gerry Francis,
27,William Hartnell,
28,Britain First,
29,Azpi,
30,Paul Weller,
31,Romain,
32,EHRC,
33,Mullins,
34,grant shapps,
35,The DUP,
36,Echoes In Rain,
37,Champion Chase,
38,Melanie Phillips,
39,David Icke,
40,Nube Negra,
41,Migos,
42,Allegra Stratton,
43,Unionism,
44,Stormont,
45,Southgate,
46,Argos,
47,Ryanair,
48,Ollie Watkins,
