,topic,tweet_volume
0,#방탄소년단,908246.0
1,#BTS_Butter,852393.0
2,Chelsea,213008.0
3,billie,116932.0
4,Wonpil,106257.0
5,Happier Than Ever,86142.0
6,Renan Calheiros,81886.0
7,CPI da Covid,81435.0
8,Senado,78584.0
9,Anvisa,76435.0
10,EU FUI,62141.0
11,shawn,51456.0
12,SARINHA NO MAIS VOCE,49122.0
13,Willow,48515.0
14,Circo,27434.0
15,#PachecoTchutchucaDoSTF,26431.0
16,Guedes,24627.0
17,Guardiola,22933.0
18,MADISON,21211.0
19,Essa CPI,21172.0
20,Euliette,16855.0
21,Camille,16811.0
22,Flávio Bolsonaro,16519.0
23,Antalya,16143.0
24,Furia,14721.0
25,aaron taylor johnson,14585.0
26,Veneza,14057.0
27,draco,12714.0
28,Breaking Bad,10767.0
29,Mercado Livre,10012.0
30,#GabiDay,
31,ENTÃO FAZ O L,
32,Omar Aziz,
33,RITA CASTILLO,
34,#CPIdaPandemia,
35,Xerath,
36,AMOR DA MINHA VIDA NO SPOTIFY,
37,COLDPLAY IS COMING,
38,OMBRO,
39,HAPPY BDAY NEIRU,
40,Ciro Nogueira,
41,ROT IS COMING,
42,Randolfe,
43,Lucian,
44,ELES NAMORAM,
45,Ivo Meirelles,
46,LZINN MELHOR DO MUNDO,
47,Beijo 3,
48,Marcos Rogério,
