,topic,tweet_volume
0,#BTSARMY,1109896.0
1,#방탄소년단,918893.0
2,#BTS_Butter,829428.0
3,#Candyเข้ากันพอดี,369715.0
4,#เลื่อนเปิดเทอม,217949.0
5,#workshopกลรักรุ่นพี่,151889.0
6,#imgxnct,145482.0
7,#RENJUN,144440.0
8,OFFICIAL MV,104471.0
9,#우리의봄_원필아_생일축하해,94422.0
10,#vowjt,94263.0
11,#กสพท64,84572.0
12,#Our_Healer_PILDAY,83243.0
13,#Teaserเผาขน,78524.0
14,Chain,77774.0
15,#HAPPYWONPILDAY,55807.0
16,Amanda,52412.0
17,#เพื่อนเล่นไม่เล่นเพื่อน,38722.0
18,BB's Quarantine Vlog,34452.0
19,#Happy33rdSungKyuDay,33536.0
20,#เอเคแพท,25768.0
21,#Happy25thYuGengyin,24272.0
22,#คุณพิรพัฒน์เลิกหล่อ,22136.0
23,V Teaser 2,17584.0
24,#YDestinyEP5,17390.0
25,#อยากคุยกับอานนท์,14371.0
26,#ROSÉxBillboard,11460.0
27,Sukida Music,10097.0
28,#tanontgame147,
29,Hug Milin,
30,Night Weeraya,
31,d-519,
32,Whal & Dolph,
33,tilly birds feat,
34,Just Being Friendly,
35,Night Cherprang,
36,By PRETZELLE,
37,Official Audio,
38,INFJ,
39,#นายเน่,
40,#LISAforVogueJapan,
41,#มัมหมีเล่าเรื่องผี,
42,#ClubhouseTH,
43,#คลังคุณภาพ,
44,#พายุทรายep2,
45,#บิวกิ้น777,
46,#GoyyogHBD,
47,#ห้องเพลงตุ๊บไม่ตุ๊บ,
48,#pastejaedo,
49,#โบ๊ะบ๊ะแฟมิลี่,
