,topic,tweet_volume
0,ピンクムーン,100053.0
1,Basic,93851.0
2,Windows,53600.0
3,オオナズチ,28399.0
4,イベント制限,19403.0
5,あんさんぶるスターズ6周年,18208.0
6,テオ・テスカトル,17343.0
7,MacBook,16449.0
8,ブルーピリオド,16389.0
9,コロナ変異株,15483.0
10,ウマ娘メンテ,15016.0
11,議員パス,13900.0
12,ヌシモンスター,12128.0
13,アキレス腱断裂,11969.0
14,ふかわりょうさん,11819.0
15,クシャル,11808.0
16,重ね着装備,11688.0
17,東京地裁,11474.0
18,#buGG,
19,HON-NO,
20,#転スラ日記,
21,#ロンハー,
22,#えとにゃんらん,
23,四葉の日,
24,クシャとテオ,
25,#星野源ANN,
26,モンハンアプデ,
27,ドス古龍,
28,チート能力,
29,エルシャダイ,
30,ドリフェス,
31,逃走の19歳少年逮捕,
32,Let's Note,
33,ユクモ村BGM,
34,無料10連,
35,バルファルク,
36,まん延防止以外,
37,ヌシディアブロス,
38,ThinkPad,
39,赤井とバーボンの名シーン,
40,追加モンスター,
41,HR解放,
42,落合くん,
43,レッツノート,
44,賠償命令,
45,咎人3周年,
46,重ね着解放,
47,暴力的キス,
48,イベクエ,
49,qwop,
