,topic,tweet_volume
0,Federal,253481.0
1,Iran,216962.0
2,Chelsea,211413.0
3,Zoom,167069.0
4,Tucker Carlson,163069.0
5,Real Madrid,137639.0
6,billie,116296.0
7,Wonpil,105663.0
8,Fox News,98561.0
9,Nintendo,95907.0
10,Ontario,78978.0
11,Philippines,43986.0
12,Sega,40726.0
13,Toronto,38678.0
14,#tuesdayvibe,28790.0
15,Parks,26351.0
16,Human Rights Watch,26123.0
17,#tuesdaymotivations,22245.0
18,Catholic,19869.0
19,Mario Party,19226.0
20,Rose McGowan,17221.0
21,Montréal,17067.0
22,Feds,14893.0
23,aaron taylor johnson,14464.0
24,North America,13248.0
25,Newfoundland,
26,Kananaskis,
27,#LTCstandardsNow,
28,#YIAYgame,
29,#CircleKCan,
30,CRSB,
31,Joe Rogan,
32,steve harvey,
33,Kayla,
34,CSRB,
35,chaudière-appalaches,
36,K-Country,
37,miroslav frycer,
38,outaouais,
39,capitale-nationale,
40,Laval,
41,Environment Canada,
42,George Springer,
43,François Legault,
44,Zone 3,
45,Nouvelle-Écosse,
46,Sewell,
47,Prime Minister Justin Trudeau,
48,how jesus,
49,Turner Sports,
