,topic,tweet_volume
0,Iran,205614.0
1,Real Madrid,178669.0
2,#alkolümedokunma,96190.0
3,MucizeDoktor ÜçüncüSezon,92213.0
4,SPOTIFY KING JIMIN,69473.0
5,Simon,68343.0
6,BirKıvılcımYeter ZehSer,58432.0
7,Rize,26769.0
8,Devlet Bahçeli,19128.0
9,Tekel,18536.0
10,Yönetim Kurulu,13416.0
11,ÜçÇocuk AnnesizKalmasın,11301.0
12,Grup Yorum,10125.0
13,BiziBekleyen Olaylar,
14,#1970ruhuyla,
15,Europowerda İşçiKıyımı,
16,#CHPNedenSessiz,
17,#1MayısEngellenemez,
18,#CezaNeredePFDK,
19,HaritaMuheOnay SayınRTE,
20,VUK359yasa MecliseGelsin,
21,TypToplum Zararına,
22,Gülben,
23,YetimGülerse DünyaGüler,
24,Efes,
25,Larkin,
26,Ergin,
27,Mısra,
28,AdnanBey Olmayınca,
29,Bülent Uygun,
30,Halil Uluer,
31,Ömer Hayyam,
32,Lamonica,
33,SnRTEALES Ertelenmedi,
34,Güvencesiz Meslek,
35,Dilan Ekin,
36,Ziya Paşa,
37,Bugün 15 Ramazan,
38,Boupendza,
39,Volkan Demirel,
40,Camiye,
41,İlber,
42,Hatayspor,
43,Türk Lirası,
44,Hasan Kartal,
45,Mithat Tekin,
46,Pudra,
47,İsmail Uygur,
48,Hoşgeldiniz,
49,Ömer Çelik,
