,topic,tweet_volume
0,#BTSARMY,1109252.0
1,#방탄소년단,918893.0
2,REQUEST,866318.0
3,#BTS_Butter,829428.0
4,#FridayLivestream,629207.0
5,Apple,479525.0
6,Dimash,279314.0
7,Chelsea,278003.0
8,Europe,116518.0
9,#BinanceSmartChain,111996.0
10,В России,24378.0
11,Ukraine,23459.0
12,#cryptoart,22838.0
13,#ArtistOnTwitter,16079.0
14,#drawing,15472.0
15,Понимаю,13029.0
16,Думаю,12853.0
17,Надеюсь,12125.0
18,Точно,10173.0
19,#design,10093.0
20,Одессе,
21,Согласен,
22,Даааа,
23,Давай,
24,Донбасс,
25,Путиным,
26,часть 1,
27,Пусть,
28,Согласна,
29,Добрый,
30,Приятно,
31,порошенко,
32,Кивы,
33,#nakedِ,
