,topic,tweet_volume
0,#RMACHE,78202.0
1,Hazard,41263.0
2,Marcelo,41224.0
3,Benzema,35464.0
4,PERCY JACKSON,26305.0
5,Kante,26137.0
6,Pant,21983.0
7,Vinicius,20722.0
8,Zidane,19701.0
9,Halal,19560.0
10,aaron taylor johnson,18971.0
11,Watermelon,16103.0
12,Hala Madrid,15408.0
13,Casemiro,15341.0
14,Joe Rogan,14385.0
15,Pulisic,13500.0
16,John Lewis,13244.0
17,#NextLeaderOfScotland,
18,Douglas Ross,
19,Tony Blair,
20,Azpi,
21,#C4News,
22,#Leadersdebate,
23,Colreevy,
24,#Channel4Debate,
25,Peter Stringfellow,
26,Chels,
27,Willie Rennie,
28,Krishnan,
29,Cheltenham,
30,Anas Sarwar,
31,William Hartnell,
32,Arlene Foster,
33,Gerry Francis,
34,Marquis,
35,Envoi Allen,
36,Chacun Pour Soi,
37,Dross,
38,Patrick Harvie,
39,Paul Weller,
40,Reece James,
41,David Icke,
42,Howe,
43,Stockley,
44,Richard Branson,
45,Britain First,
46,EHRC,
47,Courtois,
48,Toney,
49,Allaho,
