,topic,tweet_volume
0,#BTSARMY,1094938.0
1,#방탄소년단,908246.0
2,#BTS_Butter,851512.0
3,Chelsea,213904.0
4,billie,116713.0
5,LGBT,54343.0
6,Lewica,43894.0
7,Marcelo,36883.0
8,#HanKer,15022.0
9,Razem,10938.0
10,#BEŁWID,
11,biejat,
12,PiSem,
13,babcia kasia,
14,hartwich,
15,Czarzasty,
16,Władysława Króla,
17,Gowinem,
18,Platforma,
19,Morozowskiego,
20,Borys Budka,
21,Gach,
22,Widzew,
23,Sejmu,
24,Biedroń,
25,Tomczyk,
26,Schetyna,
27,Luxmedzie,
28,PiSowi,
29,Sejmie,
30,PiSu,
31,Funduszu Odbudowy,
32,Morawiecki,
33,Panią,
34,Lubnauer,
35,Ziobro,
36,Unii,
37,Premiera,
38,hartwig,
39,Pani Profesor,
40,Ikonowicz,
41,komuniści,
42,Solidarna Polska,
43,Bełchatowie,
44,POKO,
45,mieszkanie,
46,PZPR,
47,Nitras,
48,Jesteście,
49,Dulkiewicz,
