,topic,tweet_volume
0,Federal,253226.0
1,Chelsea,212047.0
2,Zoom,167069.0
3,Tucker Carlson,163069.0
4,Real Madrid,137223.0
5,billie,116296.0
6,Wonpil,105663.0
7,Fox News,98561.0
8,Nintendo,95907.0
9,Ontario,78978.0
10,Philippines,43986.0
11,Sega,40726.0
12,Toronto,38678.0
13,Jets,29684.0
14,#tuesdayvibe,28770.0
15,Human Rights Watch,26123.0
16,#tuesdaymotivations,22245.0
17,Mario Party,19226.0
18,Rose McGowan,17221.0
19,Montréal,17067.0
20,Feds,14872.0
21,aaron taylor johnson,14464.0
22,North America,13248.0
23,McDavid,
24,Kananaskis,
25,#LTCstandardsNow,
26,#YIAYgame,
27,#CircleKCan,
28,CRSB,
29,Steve Harvey,
30,Kayla,
31,Joe Rogan,
32,CSRB,
33,chaudière-appalaches,
34,K-Country,
35,Newfoundland,
36,miroslav frycer,
37,outaouais,
38,capitale-nationale,
39,Laval,
40,Environment Canada,
41,George Springer,
42,François Legault,
43,Zone 3,
44,Nouvelle-Écosse,
45,Sewell,
46,Prime Minister Justin Trudeau,
47,how jesus,
