,topic,tweet_volume
0,#BTS_Butter,823782.0
1,Chelsea,221321.0
2,billie,115642.0
3,bayern,113375.0
4,Aries,70900.0
5,Neymar,65141.0
6,Virgo,64577.0
7,Burkina Faso,52624.0
8,Mandi,50421.0
9,Roberto Fraile,41275.0
10,Sega,40728.0
11,Marcelo,37505.0
12,Monteros,27714.0
13,Camille,16641.0
14,Tuchel,15978.0
15,Antalya,15909.0
16,Werner,15842.0
17,generalitat,13996.0
18,Sandokan,11594.0
19,#yoveosálvame,11508.0
20,Del 1 al 10,10493.0
21,Géminis,10142.0
22,#cierrertve,
23,Lydia,
24,#PcComponentesLoPetaConIntel,
25,Casa Real,
26,#AlasDePlataEnFnac,
27,Xerath,
28,Mónica López,
29,El Lute,
30,Laura Fa,
31,Beatriz de Vicente,
32,Tavares,
33,Bardem,
34,Hala Madrid,
35,Clandestino,
36,Lequio,
37,Descansen,
38,Efes,
39,Azpilicueta,
40,VAMOS REAL,
41,TSJC,
42,Rohan Dennis,
43,Mossos,
44,Tauro,
45,Love of Lesbian,
46,FRAP,
47,jungly,
48,DMAX,
