,topic,tweet_volume
0,#BTSARMY,1085002.0
1,#BTS_Butter,823782.0
2,Apple,479289.0
3,Japan,405887.0
4,Chelsea,220601.0
5,Iran,207792.0
6,Position,143971.0
7,Africa,140447.0
8,billie,115642.0
9,Dosis,95758.0
10,#DeFi,82614.0
11,Turkey,54256.0
12,Dame,49009.0
13,J'aime,48839.0
14,Termine,45906.0
15,Portugal,40658.0
16,Pardon,35008.0
17,Sofa,34493.0
18,Saison,31036.0
19,Lage,12522.0
20,#TDR2021,
21,Dosen,
22,Herbst,
23,Kantone,
24,Beine,
25,Gesetz,
26,Vergleich,
27,Freut,
28,Begriff,
29,Stück,
30,suisses,
31,Angebot,
32,Körper,
33,Aufgabe,
34,Schade,
35,Genève,
36,Druck,
37,Ooooh,
38,Dummheit,
39,Projekt,
40,Seiten,
41,Swiss,
42,Fribourg,
43,Digga,
44,Vertrauen,
45,Valais,
46,Luft,
47,Quatsch,
48,Varianten,
