,topic_Acapulco,tweet_volume_Acapulco
0,#Oscars,1938881
1,#BORDER_CARNIVAL,882018
2,Comeback,769579
3,#Drunk_Dazed,401856
4,HYBE,308704
5,#BTS_Butter,222677
6,QUE ES ESTO,180821
7,WHAT'S MELTING,153631
8,#DrunkDazedIsOutNow,99969
9,#BorderCarnival_IsOutNow,99102
10,hanbin,85820
11,#ITZY,63603
12,ASMR,62931
13,McDonald,60610
14,#LesbianVisibilityDay,60188
15,BANGTANTV,46565
16,Mantequilla,37483
17,Lunes 26,29463
18,SOTY,27983
19,#FelizLunes,25554
20,Saúl Huerta,24909
21,BTS IS COMING,20638
22,#Chernobyl,15335
23,MENTIROSA,10579
24,#FelizInicioDeSemana,
25,#BuenLunes,
26,Clara Luz,
27,NXIVM,
28,iOS 14.5,
29,BLINKS CRAZY OVER OYE,
30,Keith Raniere,
31,k y ej,
32,Clarita,
33,Ley Zaldívar,
34,#JosEnExa,
35,#tiokorno,
36,#OtroDíaOtroPoderoso,
37,#MePoneDeBuenas,
38,#DiadelaVisibilidadLesbica,
39,#ConferenciaPresidente,
40,#EdoméxEnSemáforoAmarillo,
41,#LaMañanera,
42,#EstaSemanaYo,
43,#volverteaenamorarenoye,
44,#LunesDeMotivacion,
45,#BuenosDiasATodos,
46,#CrazyOverYouEnOye,
47,#HoyDeclaróQue,
48,#EnPortada,
49,#CuidemosTodosDeTodos,
