,topic_Ahsa,tweet_volume_Ahsa
0,#BTS_Butter,496053
1,#Every27thWithLOEY,133312
2,14 رمضان,117505
3,#يوم_المثليات_العالمي,29787
4,عمان,27432
5,مكة المكرمة,26360
6,#مسابقه_المربع_نت14,26056
7,#حق_هديل_الحارثي,24551
8,#١٤_رمضان_١٤٤٢,19610
9,#الطايف_الان,19215
10,#اربح_iphone12_من_العبداللطيف,16943
11,#كم_صار_وزنك,11439
12,#ممنوع_التجول__MBC,
13,#ربع_نجمه,
14,#باركود14,
15,بير هداج,
16,الخيبري,
17,زيد بن حارثة,
18,٢١ مايو,
19,اردوغان,
20,علي صوت المطر,
21,اليوم الاثنين,
22,علي التمام,
23,#شيماء_سيف_تروج_للبيدوفيليا,
24,#الديره14,
25,#عطر_اخذني_براند_سعودي,
26,#النصر_lلوحدات_دوري_اسيا,
27,#الراحل_محمد_عصام_الخميس,
28,#المرحله_الثانويه,
29,#عاده_اجتماعيه_لاتعجبك,
30,#وش_افضل_جوال,
31,#مسلسل_اهل_الواحه14,
32,#الموت_يهدد_طفلي_كل_يوم,
33,#اجواء_lلطايف_الان,
34,#مع_حمد_قصص,
35,#تزود_بالخير14,
36,#مسابقه_ذاكره_وطن_رمضان2021_س14,
37,#تركيا,
38,#مسلسل_بصير14,
39,#الاذكار_اليوميه_حافظوا_عليها,
40,#برنامج_فضايي14,
41,#تعلمت_من_lلحياه,
42,#السعوديه_العظمي,
43,#kfupm,
44,#النصر_الوحدات,
45,#نجران_الان,
46,#وينك_يالمعجب_السري,
47,#اليوم_العالمي_للمعجب_السري,
48,#كلام_قي_الخاطر_ودكم_تقولونه,
49,#وزاره_التعليم,
