,topic_Antalya,tweet_volume_Antalya
0,Dynamite,949404
1,#BTS_Butter,434436
2,bighit,257423
3,WHAT'S MELTING,176202
4,#KabineEk40BniOyalıyor,158653
5,sehun,109410
6,McDonald,65642
7,aygün,38905
8,Sputnik V,34954
9,#LiseAlesİptalBekliyor,29062
10,MilyonlarınTalebi MahkumaAF,28080
11,Selahattin Demirtaş,24523
12,Hilal Kaplan,24037
13,Yasin Börü,21815
14,Üsküdar,21027
15,#EkmekDüşmanıAkp,19779
16,Ümraniye,19098
17,YasakElma DevamEtsin,16481
18,konumatv hedefmaraşlı,15166
19,PROUD OF NIALL,12981
20,Tam Kapanma,12672
21,26 Nisan,12009
22,GüçlüKadın MerveAydın,10103
23,#HerYerdeBirlikteyiz,
24,#ChpVeİyiPartiSessiz,
25,Cengiz Topel,
26,meydanlarda,
27,VedatHocadan BİNSGKDentYrd,
28,Alanlarda,
29,Acun Ilıcalı,
30,Yaşar Kemal Uğurlu,
31,Abdulkadir Bitigen,
32,Tehlikenin FarkındaMısınız,
33,Edep,
34,Tarkan,
35,Hande Erçel,
36,Nazım Sangare,
37,Sadece Şeyma,
38,Teröristtir,
39,kerem bürsin,
40,Etli,
41,Asım Ekren,
42,İlker Baş,
43,27 Nisan Salı,
44,28 Nisan Çarşamba,
45,Onyekuru,
46,Rizeli,
47,İstikbal Göklerdedir,
48,Mimar Sinan,
49,Tatar,
