,topic,tweet_volume
0,Dynamite,968572
1,#방탄소년단,638573
2,#BTS_Butter,470378
3,haechan,223786
4,Chanyeol,209314
5,QUE ES ESTO,187032
6,WHAT'S MELTING,179920
7,Oscar 2021,164238
8,chenle,162644
9,Bangtan,135599
10,Sehun,119967
11,El 26,115976
12,BTS IS COMING,100171
13,Don Gato,74924
14,McDonald,67141
15,BILLIE,44005
16,#GuessWho_MVTeaser1,40146
17,Chernobyl,39557
18,ITZY IS DIFFERENT,38976
19,Auron,30874
20,Holan,25180
21,Dolina,21542
22,Sinopharm,20877
23,Borges,16082
24,Manteca,15928
25,Virrey,15896
26,Molly,15683
27,Ibai,15274
28,Escorpio,11684
29,HAPPIER THAN EVER IS COMING,
30,#BuenLunes,
31,#Navarro2023,
32,INDEC,
33,El Dipy,
34,Mariano Closs,
35,Carlos Bianchi,
36,Marco Lavagna,
37,daniel gollan,
38,Luis Vázquez,
39,Walter Bulacio,
40,Matías Rojas,
41,iván noble,
42,Florencia Peña,
43,Bossio,
44,Nueva Zelanda,
45,Ministerio Público Fiscal,
46,Pappo,
47,Fernán Quirós,
48,Angelina,
49,Abel Pintos,
