,topic_Atlanta,tweet_volume_Atlanta
0,Butter,1654782
1,NEW SINGLE,208367
2,Bangtan,132830
3,sehun,109410
4,#MondayMotivation,104930
5,YouTube TV,94952
6,BTS IS COMING,91926
7,#LesbianVisibilityDay,76070
8,Scorpio,72268
9,Don Gato,64815
10,Good Monday,47057
11,Fields,41277
12,Auron,27845
13,rubio,23642
14,Roku,22845
15,Texas and Florida,20450
16,49ers,15696
17,Arenas,14471
18,kwon mina,14279
19,Tariq,13680
20,#MondayMorning,13518
21,Draft Week,11842
22,Many Americans,10844
23,Tim Ryan,10688
24,Native American,10261
25,Kyle Pitts,
26,Rick Santorum,
27,Dr. Umar,
28,#AlienDay,
29,#whatsmelting,
30,yeezy slides,
31,Julio Jones,
32,Carol Burnett,
33,Rivet,
34,Andrew Shaw,
35,Second Amendment,
36,Rift Apart,
37,Falcons,
38,Elizabeth City,
39,Plymouth Middle School,
40,Birth of a Nation,
41,Tyrese,
42,Sam Johnson,
43,Tjarks,
44,Doug Collins,
45,Joseline,
46,VALKYRIE ROCK VERSION,
47,Iroquois Confederacy,
48,La Perla,
49,The Noid,
