,topic_Barcelona,tweet_volume_Barcelona
0,Enhypen,2223540
1,Butter,1294279
2,Dynamite,918493
3,And the Oscar,140509
4,Sara,129642
5,Bangtan,128191
6,Correos,87573
7,McDonald,64544
8,Ana Rosa,63898
9,Paint,58441
10,Raúl,49087
11,Marlaska,47484
12,Reyes Maroto,36872
13,Chernobyl,36655
14,Don Gato,34930
15,11-M,32337
16,Infolibre,26898
17,Photoshop,21255
18,Auron,20303
19,Inda,18119
20,Cancún,15487
21,Ratchet,14550
22,Gernika,13670
23,Varane,13126
24,#PabloIglesiasFascista,12097
25,#ReturnalPS5enGAME,10719
26,Mónica López,10173
27,Juana Rivas,
28,#TodoEsMentira26A,
29,#DiadelaVisibilidadLesbica,
30,El Escorial,
31,#MisterUnderdog57,
32,Muchísima,
33,Risto,
34,Adriana Lastra,
35,Iván Redondo,
36,El Supremo,
37,jesulin,
38,Villarejo,
39,Ministerios,
40,Guernica,
41,Xbox 360,
42,Djukic,
43,PREGUNTAS DESCARADAS,
44,Curro Jiménez,
45,José Gomes,
46,Señor Iglesias,
47,Mamen,
48,Sanfermines,
49,Miércoles 28,
