,topic,tweet_volume
0,#SemanaFlexible,464473
1,España,305690
2,#BTS_Butter,262561
3,El Covid-19,178320
4,Óscar 2021,161875
5,Bioseguridad,159988
6,Amén,150577
7,Perú,142895
8,PSOE,120140
9,#26Abr,106886
10,El 26,103514
11,Chelsea,72402
12,Victor,63021
13,Ecuador,50372
14,Omar,47521
15,Bendecido,43083
16,Bendiciones,41060
17,apure,40171
18,Presidente Maduro,29375
19,#FelizLunes,25970
20,Asamblea,22358
21,#GNByPuebloVenciendo,18036
22,Diplomático,13955
23,Vamos a 7,13895
24,Navalny,13694
25,Trinidad,13372
26,Varane,12792
27,Delta Amacuro,12067
28,Tucupita,10492
29,Juan Pablo Pernalete,
30,Día Internacional del Humor,
31,Yulimar Rojas,
32,Eliézer Otaiza,
33,Raúl Leoni,
34,Sara y Sofía Oviedo,
35,UNEFA,
36,McDonald,
37,The Washington Post,
38,Chernóbil,
39,Urbanización,
40,Eduardo Rodríguez,
41,Saime,
42,Táchira y Bolívar,
43,Elvis Amoroso,
44,María Carolina Santana,
45,Cddno,
46,Caribe,
47,Jamaica,
48,andrés eloy blanco,
49,AMADO DIOS,
