,topic,tweet_volume
0,Comeback,782441
1,Pandemia,376534
2,#BTS_Butter,257657
3,QUE ES ESTO,182271
4,WHAT'S MELTING,158938
5,Colombia,151012
6,Bangtan,121511
7,hanbin,86376
8,ASMR,64071
9,McDonald,62100
10,Feliz Semana,55046
11,Sputnik,51414
12,Bogotá,48116
13,Mantequilla,39491
14,Alcaldía,33518
15,Duque,32268
16,#FelizLunes,26042
17,Transmilenio,22836
18,Hoy 26,18934
19,Hipocresía,18326
20,Salgan,18023
21,TENGO MIEDO,16635
22,Rusa,15392
23,Irresponsable,15196
24,Claudia López,11751
25,Adicional,11096
26,#HacerParoEs,10411
27,#YoNoMarchoYoProduzco,
28,#InvimaAsesino,
29,Tunja,
30,Zipaquirá,
31,Sonsón,
32,Pasto,
33,Manizales,
34,Julito,
35,Carlos Pizarro,
36,ESMAD,
37,Pymes,
38,Retiren,
39,Campin,
40,Millonarios y Santa Fe,
41,MinSalud,
42,techo,
43,Centro Democrático,
44,Andes,
45,,
46,,
47,,
48,,
49,,
