,topic_Belfast,tweet_volume_Belfast
0,Oscar,1078483
1,Butter,815839
2,Spotify,757300
3,bighit,213506
4,Boris Johnson,119053
5,BANGTAN,117547
6,Apple music,116472
7,Henry,114794
8,Iran,93412
9,Prime Minister,87386
10,#LineofDuty,85319
11,#LesbianVisibilityDay,60188
12,Drake,43608
13,Hall of Fame,33529
14,Daily Mail,31448
15,Shearer,30374
16,Vieira,28273
17,skins,26375
18,Nagelsmann,22446
19,Bergkamp,21487
20,Daniel Ek,20429
21,Gove,20174
22,Varane,12654
23,Tariq,12536
24,Rooney,11239
25,Peston,10609
26,Bailly,10455
27,Ratchet & Clank,10068
28,Simon Case,
29,#BodiesPiledHigh,
30,#FreeNazanin,
31,#TennisInSongOrFilm,
32,Foreign Secretary,
33,Magna Carta,
34,Cabinet Secretary,
35,Balogun,
36,Yes Minister,
37,Scholes,
38,Lampard,
39,Giggs,
40,Gerrard,
41,Drowning Pool,
42,Abrdn,
43,Primark,
44,Flamini,
45,ecce romani,
46,Gareth Barry,
47,Phil Jones,
48,Civil Service,
49,Nadine,
