,topic,tweet_volume
0,Enhypen,2399319
1,#BTS_Butter,470378
2,President,388030
3,namjoon,362910
4,haechan,223786
5,Commission,223101
6,Pure,141594
7,The EU,131844
8,T'en,128643
9,Arsenal,115923
10,Europe,114853
11,Peter,113689
12,Iran,98988
13,Manchester,82647
14,#LesbianVisibilityDay,80874
15,Bayern,49769
16,Julie,27668
17,Turkish,27515
18,Omggg,21624
19,McDo,20534
20,#Chernobyl,17865
21,Kent,17520
22,Greek,17242
23,Let's Go Urban,
24,Vlaams Parlement,
25,SMEs,
26,#TradeDay21,
27,Anderlecht,
28,#AstraZeneca,
29,Sihame El Kaouakibi,
30,De Wever,
31,Brugge,
32,Stad Antwerpen,
33,B-kern,
34,telenet,
35,Ouiiii,
36,amai,
37,MEPs,
38,brusselse,
39,Bruxelles,
40,Bartje,
41,Wallonië,
42,Vlaanderen,
43,Hopelijk,
44,annelies verlinden,
45,Benieuwd,
46,Fijn,
47,Kortrijk,
48,Frérot,
49,bongonda,
