,topic_Belém,tweet_volume_Belém
0,#ForaArthur,345897
1,HYBE,310201
2,#BTS_Butter,262561
3,bighit,224424
4,O QUE É ISSO,177554
5,WHAT'S MELTING,159546
6,hanbin,86376
7,ASMR,64071
8,MANTEIGA,49935
9,mc donalds,48158
10,BANGTANTV,48132
11,O Santos,47177
12,UMA HORA,39877
13,Sputnik V,34049
14,Ana Maria,27928
15,noelle,27378
16,Independiente,27292
17,BTS IS COMING,26295
18,Fábio,24115
19,É COMEBACK,23128
20,Nagelsmann,22611
21,ITZY IS DIFFERENT,21541
22,BROTA NO BAILÃO,19371
23,É SINGLE,18460
24,Rueda,17162
25,Thelma,16535
26,OQ É ISSO,12533
27,#maisvocê,12477
28,#FicaHolan,11984
29,Ratchet & Clank,10375
30,#BolsonaroPresidenteAte2026,
31,Lisca,
32,Marinho,
33,Diniz,
34,TE AMAMOS VITORIA,
35,Jair Ventura,
36,Marcelo Fernandes,
37,Thelminha,
38,Hering,
39,Salve o Mundo,
40,Carcará,
41,dorival,
42,manu rios,
43,Qualy,
44,Adão,
45,grupo soma,
46,CUFA,
47,ERA SÓ ISSO,
48,Kindle 10a,
49,Casa Civil,
