,topic_Bilbao,tweet_volume_Bilbao
0,Butter,1294279
1,Dynamite,918493
2,And the Oscar,140509
3,Bangtan,128191
4,Correos,87670
5,McDonald,64419
6,Ana Rosa,63787
7,Paint,58441
8,Raúl,49028
9,Marlaska,47484
10,#ConexionHonduras3,45938
11,Reyes Maroto,36872
12,Chernobyl,36722
13,Don Gato,34930
14,11-M,32338
15,Infolibre,26898
16,Photoshop,21255
17,Auron,20303
18,Inda,18149
19,Cancún,15487
20,Ratchet,14550
21,Gernika,13670
22,Varane,13126
23,#PabloIglesiasFascista,12097
24,#ReturnalPS5enGAME,10719
25,Mónica López,10173
26,Juana Rivas,
27,#TodoEsMentira26A,
28,El Escorial,
29,Muchísima,
30,Adriana Lastra,
31,Risto,
32,Iván Redondo,
33,El Supremo,
34,Villarejo,
35,Jesulin,
36,Ministerios,
37,Guernica,
38,Xbox 360,
39,Djukic,
40,PREGUNTAS DESCARADAS,
41,Alsina,
42,Curro Jiménez,
43,José Gomes,
44,Sanfermines,
45,Señor Iglesias,
46,Mamen,
47,,
48,,
49,,
