,topic_Bologna,tweet_volume_Bologna
0,#Oscars,1942059
1,#ENHYPEN,1538971
2,Butter,966674
3,#BORDER_CARNIVAL,888679
4,#Drunk_Dazed,404063
5,Nomadland,189647
6,Zendaya,174647
7,Anthony Hopkins,139108
8,Brad Pitt,87309
9,#LesbianVisibilityDay,62281
10,Tina,31901
11,Loca,31403
12,Margot Robbie,23271
13,Pausini,20580
14,Samantha,18297
15,Poste,16789
16,#Chernobyl,15573
17,Sally,14728
18,Las Vegas,13166
19,#26aprile,11050
20,#PNRR,
21,#assembramenti,
22,#PNNR,
23,McDonald,
24,Aka e Tancredi,
25,Lazzaro,
26,Alessio,
27,Spalletti,
28,Veneto,
29,Partecipo,
30,Allegri,
31,Cecchi Paone,
32,Signorini,
33,Sarri,
34,Gasperini,
35,#camera,
36,#Gravina,
37,#Dieci,
38,#lefetenti,
39,#FIGC,
40,#tagadala7,
41,#Recovery,
42,#Nuda10,
43,#LOLAfterShow,
44,#varianteindiana,
45,#zonagialla,
46,#Pirlo,
47,#TorinoNapoli,
48,#LazioMilan,
49,#FrancesMcDormand,
