,topic,tweet_volume
0,#BTS_Butter,386614
1,디지털 싱글,95097
2,온앤오프,
3,#아무도_믿지않을_거짓말을_말해보자,
4,구슬아이스크림,
5,나즈나 생일,
6,당신의남은수,
7,#윈윈버블,
8,나비소녀,
9,실물 음반,
10,게임이면,
11,카리스마,
12,성지순례,
13,한시간동안,
14,몰티져스,
15,#더비구함,
16,#봄의요정_치훈아_생일축하해,
17,카운트다운,
18,하트모양,
19,방탄티비,
20,실물앨범,
21,니쨩 생일,
22,노랑노랑,
23,방탄소년단의 매력,
24,쿠킹게임,
25,천러 베레모,
26,마멜잠옷,
27,섹시컨셉,
28,사쿠란보,
29,탐라 포지션,
30,청량섹시,
31,베이커리,
32,천러 너무,
33,보링 버전,
34,스키틀즈,
35,게임 광고,
36,만약 탈트,
37,유튜브 서버,
38,최애 반응,
39,표창장 관리,
40,상장대장,
41,공주침대,
42,목이버섯,
43,대사 초성,
44,천사같은얼굴,
45,트랙리스트,
46,토끼슬리퍼 차림,
47,중국당면,
48,분홍색 극세사,
49,,
