,topic,tweet_volume
0,Spotify,797388
1,Biden,589911
2,#BTS_Butter,386614
3,الامارات,344053
4,China,323885
5,Queen,269498
6,Jesus,265031
7,Bestie,235935
8,#البرلمان_يدعم_الصيادله,184488
9,Zendaya,177699
10,14 رمضان,110411
11,أحمد,85298
12,McDonald,66161
13,ابراهيم,45859
14,الخطيب,42256
15,#DV2021,37612
16,Yess,37224
17,#KCC_Not_Working,30437
18,وزارة الصحة,28319
19,Egypt,23486
20,تركيا,21885
21,رييس الوزراء,12838
22,علي الحبيب,12500
23,#عماره_الحاج_رمضان_شقه14,
24,حسام حسن,
25,عماد متعب,
26,محمد صلاح,
27,اليوم الاثنين,
28,عدي علي,
29,العيد الصغير,
30,علي الفاضي,
31,صالح سليم,
32,جمال عبد الناصر,
33,البنك الاهلي,
34,ياسر,
35,ابو تريكة,
36,حسن التربيه,
37,علي الفطار,
38,فخر العرب,
39,cairo,
40,ايطاليا,
41,عنا البلاء,
42,انستجرام,
43,تيك توك,
44,ابو ادم,
45,اردوغان,
46,الفطار النهارده,
47,ايس كريم,
48,القايمه الكامله,
49,علي حسب الظروف,
