,topic,tweet_volume
0,COVID-19,1049768
1,#BTS_Butter,468471
2,jaemin,344124
3,Bighit,265562
4,haechan,223786
5,chenle,162835
6,Bangtan,135753
7,Sehun,119967
8,#MondayMotivation,106998
9,#LesbianVisibilityDay,80874
10,irene,75180
11,McDonald,67141
12,Good Monday,47921
13,BILLIE,44005
14,Fields,42082
15,Line 5,24013
16,CBC News,14939
17,Tariq,14250
18,Ratchet & Clank,12554
19,Native American,11548
20,Rift Apart,10401
21,Andrew Shaw,
22,#Flames1stGoal,
23,Santorum,
24,Emily Victoria Viegas,
25,#PaidSickDays,
26,Brampton,
27,DJ Smith,
28,Carol Burnett,
29,Christine Elliott,
30,Parent Portal,
31,Port of Montreal,
32,Farkas,
33,Duhaime,
34,Chargers,
35,Patrick Roy,
36,Google Meet,
37,Bill 247,
38,guillaume,
39,Julio Jones,
40,Nikolaj Ehlers,
41,Rudy Cuzzetto,
42,Josh Brown,
43,Erin O'Toole,
44,Belleville,
45,Ontarians,
46,toronto star,
47,TLMEP,
48,Paul Maurice,
49,First Nations,
