,topic_Canberra,tweet_volume_Canberra
0,Daniel,416527
1,namjoon,365483
2,#BTS_Butter,334634
3,jaemin,328150
4,Jake,267085
5,Jesus,261390
6,bighit,239984
7,HAECHAN,212606
8,CHENLE,149988
9,Bangtan,128191
10,The West,125893
11,Christian,81813
12,#LesbianVisibilityDay,66866
13,McDonald,64544
14,Roma,51755
15,Bible,50311
16,Bayern,49426
17,Danny,48354
18,Gods,45201
19,Sony,44671
20,Morgan,35041
21,Jets,33445
22,Satan,31582
23,Matthew,27957
24,Emperor,25150
25,Laying,24672
26,Katie,23020
27,Mickey,21462
28,Hawaii,15312
29,Prosperity,15273
30,Patty,14701
31,Denise,11299
32,#BBAU,
33,#BigBrotherAU,
34,Mike Pezzullo,
35,steve price,
36,Pentecostal,
37,Old Testament,
38,andrew bolt,
39,Hayden,
40,ronni,
41,Greta Thunberg,
42,Oh FFS,
43,Latham,
44,Gladys,
45,Leigh Sales,
46,New Testament,
47,Dan Murphy,
48,,
49,,
