,topic,tweet_volume
0,Butter,1507581
1,Oscar,1099889
2,President,397596
3,I 1-2,147644
4,I 1 2,147586
5,Henry,119212
6,Solidarity,85728
7,#EricaxLatiziaMagazine,73481
8,McDonald,66161
9,Yusuf,34014
10,Tyler Perry,29307
11,#DearOzo,28306
12,OZOEMENA CHUKWU,25302
13,Hawks,23888
14,ANTICIPATE THE WIG,19527
15,jessie,18541
16,CCTV,16682
17,Ramaphosa,15030
18,lasizwe,12881
19,Venda,12222
20,Rooney,12087
21,Zuma,10678
22,Duarte,10050
23,Simphiwe Dana,
24,#titsoutforkeenan,
25,Pitso,
26,Chicken Licken,
27,#KayaDrive,
28,#StateCaptureInquiry,
29,Washington Arubi,
30,Gama,
31,News Cafe,
32,CIPC,
33,SAFA,
34,Xhosa,
35,Danny Jordan,
36,Tyrese,
37,Tsonga,
38,Sandra Stein,
39,Bonnie,
40,Scholes,
41,tswana,
42,Marikana,
43,Steers,
44,making lunch,
45,William Nicol,
46,Grade 11,
47,Mr Smeg,
48,Bafana,
49,Giggs,
