,topic,tweet_volume
0,Butter,1659498
1,NEW SINGLE,208367
2,Bangtan,132830
3,Sehun,109410
4,#MondayMotivation,104930
5,YouTube TV,94952
6,BTS IS COMING,91118
7,#LesbianVisibilityDay,76070
8,Good Monday,47093
9,Fields,41229
10,Auron,28021
11,rubio,23678
12,Roku,22873
13,Texas and Florida,20450
14,49ers,15696
15,Slam Ball,15545
16,Arenas,14471
17,kwon mina,14279
18,Tariq,13680
19,#MondayMorning,13518
20,Draft Week,11842
21,Many Americans,10854
22,Tim Ryan,10688
23,Native American,10261
24,Rick Santorum,
25,Dr. Umar,
26,#AlienDay,
27,#whatsmelting,
28,yeezy slides,
29,Julio Jones,
30,Carol Burnett,
31,Rivet,
32,Andrew Shaw,
33,Second Amendment,
34,Rift Apart,
35,Falcons,
36,Elizabeth City,
37,Birth of a Nation,
38,Plymouth Middle School,
39,Tyrese,
40,Tjarks,
41,Doug Collins,
42,Sam Johnson,
43,Joseline,
44,VALKYRIE ROCK VERSION,
45,La Perla,
46,Iroquois Confederacy,
47,The Noid,
48,Matt Ryan,
49,Kevin Colbert,
