,topic_Dammam,tweet_volume_Dammam
0,#BTS_Butter,389614
1,14 رمضان,110296
2,أبها,31220
3,حائل,30967
4,#رويه_السعوديه_2030,29890
5,#يوم_المثليات_العالمي,28566
6,عمان,27292
7,مكة المكرمة,25938
8,#مسابقه_المربع_نت14,25127
9,#المطيري_يخدع_متابعينه,24395
10,#حق_هديل_الحارثي,20987
11,#الطايف_الان,19905
12,#مقاطعه_المنتجات_الفرنسيه181,19651
13,#١٤_رمضان_١٤٤٢,17594
14,#اربح_iphone12_من_العبداللطيف,16741
15,#مسابقه_طرق_الرياض14,12989
16,#اذاعه_القران_الكريم,11144
17,#كم_صار_وزنك,10573
18,#الديره14,
19,#الراحل_محمد_عصام_الخميس,
20,بير هداج,
21,#عطر_اخذني_براند_سعودي,
22,#عاده_اجتماعيه_لاتعجبك,
23,زيد بن حارثة,
24,علي صوت المطر,
25,اليوم الاثنين,
26,علي التمام,
27,#الموت_يهدد_طفلي_كل_يوم,
28,#النصر_lلوحدات_دوري_اسيا,
29,#شيماء_سيف_تروج_للبيدوفيليا,
30,#اجواء_lلطايف_الان,
31,#المرحله_الثانويه,
32,#برنامج_فضايي14,
33,#اربح_مع_سوالف_رمضان4,
34,#وش_افضل_جوال,
35,#تزود_بالخير14,
36,#مسابقه_ذاكره_وطن_رمضان2021_س14,
37,#مسلسل_بصير14,
38,#الاذكار_اليوميه_حافظوا_عليها,
39,#تعلمت_من_lلحياه,
40,#كلام_قي_الخاطر_ودكم_تقولونه,
41,#اليوم_العالمي_للمعجب_السري,
42,#وينك_يالمعجب_السري,
43,#مسابقه_البسامي_الدوليه,
44,#معنف_الهامستر_يحيي,
45,#فكرتك_للسوق,
46,#مسابقه_حراج14_ايفون12,
47,,
48,,
49,,
