,topic_Davao City,tweet_volume_Davao City
0,Butter,1507581
1,THAT'S IT,1409425
2,Dynamite,961737
3,HYBE,329941
4,bighit,254166
5,HAECHAN,220653
6,NEW SINGLE,192733
7,WHAT'S MELTING,172914
8,CHENLE,156722
9,Bangtan,132849
10,#CHANYEOL,109431
11,sehun,97909
12,NEW ALBUM,96394
13,#Every27thWithLOEY,95282
14,Cooking,90967
15,BTS IS COMING,78059
16,BTS COMEBACK,76572
17,Irene,73465
18,BTSARMY RUN FOR BTS,68632
19,ASMR,67196
20,DEIB AND MAXPEIN,64867
21,K and EJ,56070
22,WHAT'S HAPPENING,50164
23,jihyo,42846
24,#GuessWho_MVTeaser1,35457
25,ITZY IS DIFFERENT,34315
26,meet ceo heart,26273
27,mondate with ellaizyl,22591
28,just in with kodrea,21921
29,Na Jaemin,21854
30,KAORHYS INTO TOCHIKO,19560
31,Lele,18733
32,BEST BOY MINGHAO,14458
33,CHIMANDA FOR VERSUS,14071
34,2min,12276
35,SAVE THE DATE,11237
36,ralphgail 4 crismar ls,10603
37,SeChan,10132
38,AKIng Kaarawan NaBukas,
39,STREAM BOY ON YOUTUBE,
40,P'Tay,
41,YUN NA YON,
42,SUMMER PACKAGE,
43,EAT JIN,
44,franzeya 2ndmonthsary,
45,Gordon Ramsay,
46,LEE DONGHYUCK,
47,Lost Stars,
48,,
49,,
