,topic,tweet_volume
0,#Oscars,1955389
1,Butter,1507581
2,Money,851746
3,السعودية,632562
4,#방탄소년단,594791
5,jungkook,463848
6,Mark,418574
7,namjoon,371334
8,jeno,368497
9,jaemin,338949
10,Bitcoin,303586
11,Lisa,253828
12,HAECHAN,220653
13,Lovely,216207
14,Chanyeol,176259
15,The Father,168342
16,Ramadan,142353
17,Bangtan,133126
18,Paris,132650
19,14 رمضان,110411
20,١٤ رمضان,110380
21,Correct,105832
22,sehun,97909
23,Messi,94917
24,Germany,79859
25,Chelsea,74929
26,PM Cares,57934
27,Turkey,57373
28,McDonalds,52326
29,Drake,45116
30,Dubai,44200
31,Iftar,43675
32,Ronaldo,42964
33,Neymar,41336
34,Yess,37224
35,Pakistani,22276
36,Uganda,16553
37,الوحدة,15867
38,#JusticeQaziFaezIsa,15044
39,Om Shanti,14252
40,#SupremeCourt,12169
41,Abu Dhabi,10419
42,الامارات العربيه المتحده,
43,#Egypt,
44,عقب الفطور,
45,علي السلامه,
46,هون علي,
47,حسن الحياه,
48,هزاع المنصوري,
49,Ofcourse,
