,topic,tweet_volume
0,Oscar,1082828
1,Spotify,766924
2,TikTok,461799
3,Apple,350301
4,Johnson,248730
5,Chadwick,237210
6,Minister,226006
7,Best Actor,208265
8,Hopkins,172099
9,Henry,115537
10,#MondayMotivation,97962
11,Iran,94226
12,AstraZeneca,75556
13,Andrew,64032
14,#LesbianVisibilityDay,62281
15,Frances McDormand,51600
16,Portugal,49816
17,Bible,49641
18,Bayern,48556
19,Chernobyl,35795
20,Hall of Fame,33764
21,Joel,32619
22,barbara,31832
23,Shearer,30551
24,Pixar,27926
25,Ukraine,24928
26,Daniel Ek,20570
27,Suarez,19947
28,Catholic,16452
29,Joan,15957
30,Varane,12792
31,Rooney,11345
32,Bailly,10793
33,#liveline,
34,#ASW21,
35,Donie,
36,Gerrard,
37,Darragh,
38,McDonald,
39,#GetOutGlazers,
40,Simon Harris,
41,Gardaí,
42,Rodgers,
43,Keane,
44,Cheltenham,
45,Leitrim,
46,Clodagh,
47,Giggs,
48,Sancho,
49,Dunnes,
