,topic,tweet_volume
0,COVID-19,1050693
1,Dynamite,968572
2,#BTS_Butter,470378
3,Perú,139126
4,Sara,130249
5,#Every27thWithLOEY,124824
6,BTS IS COMING,100171
7,EN VIVO,77057
8,Don Gato,75519
9,McDonald,67141
10,Ánimo,59998
11,Sputnik,54018
12,Raúl,48547
13,BILLIE,44005
14,Fuerzas,42288
15,Cuídate,38373
16,Auron,30874
17,Pronta,30298
18,#FelizLunes,29244
19,Chino,22781
20,Sensei,19872
21,The Strongest,19208
22,Tiktokers,13509
23,Ministro de Gobierno,13018
24,Trujillo,10596
25,Jesús Fichamba,
26,La Pinta,
27,la troncal,
28,Castilla,
29,Piura,
30,Gustavo Pacheco,
31,Niña y la Santa María,
32,Carlos Víctor,
33,#UsaBienEl911,
34,#sismo,
35,Ariel Holan,
36,Wated,
37,Bendito,
38,cañar,
39,Viteri,
40,QEPD,
41,Teodoro Maldonado,
42,rotarios,
43,Presidente Lasso,
44,Borrero,
45,Ruggero,
46,Celi,
47,Carrión,
48,Cinthia,
49,michael estrada,
