,topic,tweet_volume
0,#ENHYPEN,1538971
1,Butter,945669
2,#BORDER_CARNIVAL,888679
3,HYBE,310418
4,chanyeol,104522
5,#LesbianVisibilityDay,62281
6,Nagelsmann,22641
7,CO JEST,15321
8,PROUD OF NIALL,12456
9,Masło,
10,Lewicy,
11,Lidlu,
12,Ekipa,
13,McDonald,
14,PiSem,
15,Czarnobylu,
16,Migalski,
17,cichociemni,
18,Różowy,
19,Krajowego Planu Odbudowy,
20,Funduszu Odbudowy,
21,Lugola,
22,bayernie,
23,Bangtani,
24,Kolor,
25,Hołownia,
26,Sejmie,
27,hbo go,
28,PiSowi,
29,koksy,
30,Czechami,
31,CO TO JEST,
32,lipsku,
33,Podrywacze,
34,Matma,
35,Brosz,
36,Wybieram,
37,Wrocławiu,
38,Sobolewski,
39,fioletowy,
40,hyballe,
41,PiSu,
42,Warzechy,
43,Nepo,
44,Kamila,
45,Od 4,
46,Simsy,
47,Friza,
48,,
49,,
