,topic_Goyang,tweet_volume_Goyang
0,#BTS_Butter,334634
1,디지털 싱글,91274
2,차니 생일,34070
3,#아무도_믿지않을_거짓말을_말해보자,
4,구슬아이스크림,
5,실물 음반,
6,#윈윈버블,
7,나즈나 생일,
8,한시간동안,
9,게임이면,
10,당신의남은수,
11,나비소녀,
12,몰티져스,
13,#봄의요정_치훈아_생일축하해,
14,#더비구함,
15,때로는 카리스마,
16,카운트다운,
17,하트모양,
18,방탄티비,
19,니쨩 생일,
20,사쿠란보,
21,쿠킹게임,
22,마멜잠옷,
23,천러 베레모,
24,노랑노랑,
25,베이커리,
26,섹시컨셉,
27,청량섹시,
28,보링 버전,
29,탐라 포지션,
30,만약 탈트,
31,게임 광고,
32,유튜브 서버,
33,최애 반응,
34,표창장 관리,
35,상장대장,
36,공주침대,
37,중국당면,
38,대사 초성,
39,목이버섯,
40,천사같은얼굴,
41,토끼슬리퍼 차림,
42,트랙리스트,
43,팽이버섯,
44,분홍색 극세사,
45,오두방정,
46,미스크레인,
47,독립만세,
48,키티칫솔,
49,시리즈온,
