,topic_Guatemala,tweet_volume_Guatemala
0,ARMY,880645
1,Spotify,789084
2,#방탄소년단,638573
3,Biden,570227
4,#BTS_Butter,470378
5,#Drunk_Dazed,423742
6,Trump,381363
7,Que Dios,172391
8,Bella,156472
9,Bangtan,135753
10,Sara,130349
11,Hollywood,114440
12,Israel,101730
13,BTS IS COMING,100171
14,Reyes,79541
15,EEUU,77280
16,Don Gato,75519
17,Chelsea,73853
18,Animo,60017
19,Estados Unidos,42718
20,Kamala Harris,42042
21,Ahhhh,33825
22,Viste,33283
23,Auron,30874
24,#FelizLunes,29244
25,Japón,24887
26,Neto,24098
27,Secretaria,20828
28,Gaby,20339
29,Biblia,20096
30,Ayyy,16731
31,Lamento,16502
32,Muchísimas,13570
33,Esque,10215
34,Interamericana,
35,San Lucas,
36,#TraficoGT,
37,Manzanillo,
38,Mixco,
39,Narco Estado,
40,Xela,
41,petén,
42,FECI,
43,Arzu,
44,USAC,
45,AstraZeneca,
46,Atlántico,
47,Honduras,
48,Cicig,
49,Pacífico,
