,topic,tweet_volume
0,#BTS_Butter,389614
1,디지털 싱글,95097
2,#아무도_믿지않을_거짓말을_말해보자,
3,구슬아이스크림,
4,나즈나 생일,
5,당신의남은수,
6,#윈윈버블,
7,나비소녀,
8,실물 음반,
9,게임이면,
10,카리스마,
11,성지순례,
12,한시간동안,
13,몰티져스,
14,#더비구함,
15,카운트다운,
16,하트모양,
17,방탄티비,
18,실물앨범,
19,니쨩 생일,
20,노랑노랑,
21,방탄소년단의 매력,
22,쿠킹게임,
23,천러 베레모,
24,마멜잠옷,
25,섹시컨셉,
26,사쿠란보,
27,탐라 포지션,
28,청량섹시,
29,베이커리,
30,천러 너무,
31,보링 버전,
32,스키틀즈,
33,게임 광고,
34,유튜브 서버,
35,만약 탈트,
36,최애 반응,
37,표창장 관리,
38,상장대장,
39,공주침대,
40,천사같은얼굴,
41,트랙리스트,
42,중국당면,
43,토끼슬리퍼 차림,
44,대사 초성,
45,목이버섯,
46,분홍색 극세사,
47,오두방정,
48,팽이버섯,
49,,
