,topic,tweet_volume
0,Butter,1654782
1,NEW SINGLE,208367
2,Anthony Hopkins,142508
3,Bangtan,133000
4,sehun,109410
5,#MondayMotivation,105097
6,YouTube TV,94952
7,BTS IS COMING,91926
8,#LesbianVisibilityDay,76070
9,Good Monday,47093
10,Fields,41229
11,Auron,28021
12,rubio,23678
13,Roku,22845
14,Texas and Florida,20450
15,49ers,15696
16,Arenas,14471
17,kwon mina,14279
18,Tariq,13680
19,#MondayMorning,13528
20,Draft Week,11866
21,Many Americans,10854
22,Tim Ryan,10688
23,Native American,10338
24,Rick Santorum,
25,Dr. Umar,
26,#AlienDay,
27,#whatsmelting,
28,yeezy slides,
29,Julio Jones,
30,Carol Burnett,
31,Rivet,
32,Andrew Shaw,
33,Second Amendment,
34,Rift Apart,
35,Falcons,
36,Elizabeth City,
37,Plymouth Middle School,
38,Birth of a Nation,
39,Tyrese,
40,Tjarks,
41,Doug Collins,
42,Sam Johnson,
43,Joseline,
44,VALKYRIE ROCK VERSION,
45,La Perla,
46,Shawzy,
47,Iroquois Confederacy,
48,The Noid,
49,Matt Ryan,
