,topic_India,tweet_volume_India
0,Butter,1766836
1,Dynamite,968572
2,Comeback,834504
3,HYBE,332907
4,NEW SINGLE,221985
5,WHAT'S MELTING,179920
6,Bangtan,135753
7,SSR Killed By Strangulation,120775
8,Sehun,119967
9,Testing,81350
10,irene,75295
11,PLEASE DONATE,74217
12,Donated,70496
13,ASMR,68218
14,Jordan,67553
15,McDonald,67141
16,चुनाव आयोग,48910
17,BILLIE,44005
18,#End_Casteism_In_IIT,41614
19,The Australian,40730
20,Betty,34468
21,#RealStory_Of_Hanumanji,27976
22,Armed Forces,23964
23,#FailedPMModi,22717
24,BCCI,17415
25,#PBKSvKKR,16549
26,Agra,15675
27,SSRians Help In Covid Crisis,15002
28,Patty,14648
29,CRED,13770
30,Thanks Pat,11628
31,#RemoveKejriVirus,10606
32,NGOs,10486
33,bookone show crorepati,
34,dusk blue,
35,Sunset Dazzle,
36,IIT Kharagpur,
37,Amul,
38,huge respect,
39,eat jin,
40,Madras HC,
41,Naxals,
42,Andrew Tye,
43,IITs,
44,Great Gesture,
45,NITI Aayog,
46,Indian Cricketers,
47,Favourite Moment,
48,CROREPATI OFFER,
49,#KKRVSPKBS,
