,topic_Istanbul,tweet_volume_Istanbul
0,Dynamite,950905
1,#BTS_Butter,437157
2,#Drunk_Dazed,419989
3,bighit,257423
4,WHAT'S MELTING,176429
5,#KabineEk40BniOyalıyor,157594
6,Sehun,109410
7,McDonald,65570
8,aygün,38905
9,Sputnik V,34954
10,MilyonlarınTalebi MahkumaAF,28080
11,Selahattin Demirtaş,24523
12,Hilal Kaplan,24037
13,Yasin Börü,21815
14,Üsküdar,21027
15,#EkmekDüşmanıAkp,19779
16,Ümraniye,19098
17,YasakElma DevamEtsin,16481
18,konumatv hedefmaraşlı,15166
19,PROUD OF NIALL,12988
20,Tam Kapanma,12672
21,26 Nisan,12009
22,GüçlüKadın MerveAydın,10103
23,Cengiz Topel,
24,Onyekuru,
25,#akılsağlığım,
26,#HerYerdeBirlikteyiz,
27,Meydanlarda,
28,VedatHocadan BİNSGKDentYrd,
29,Alanlarda,
30,Acun Ilıcalı,
31,Yaşar Kemal Uğurlu,
32,Abdulkadir Bitigen,
33,Tehlikenin FarkındaMısınız,
34,Edep,
35,hande erçel,
36,Tarkan,
37,Nazım Sangare,
38,Sadece Şeyma,
39,Teröristtir,
40,Kerem Bürsin,
41,Etli,
42,Asım Ekren,
43,İlker Baş,
44,27 Nisan Salı,
45,28 Nisan Çarşamba,
46,Rizeli,
47,İstikbal Göklerdedir,
48,Mimar Sinan,
49,Tatar,
