,topic_Jakarta,tweet_volume_Jakarta
0,Butter,1294279
1,Dynamite,925627
2,Jake,267085
3,MY HEART,241802
4,bighit,240802
5,Spring,198927
6,CAN'T WAIT,197688
7,WHAT'S MELTING,166984
8,NEW SINGLE,166427
9,CHENLE,149988
10,Bangtan,128191
11,#CHANYEOL,88449
12,Tahu,84507
13,INI APA,72289
14,#Every27thWithLOEY,71081
15,Irene,69949
16,ASMR,65943
17,BTSARMY RUN FOR BTS,65045
18,BTS IS COMING,58891
19,K and EJ,55869
20,D-30,44686
21,Sejam,39872
22,6th Anniversary Challenge,39288
23,Day-30,35625
24,Papua,33412
25,ITZY IS DIFFERENT,29607
26,#LOEYxStudioNNG,25692
27,Selamat Jalan Pahlawan,22885
28,Mentega,17229
29,Geonu,14548
30,Meleleh,11951
31,21 Mei,11873
32,#IkatanCintaEp251,10857
33,Reyna,10077
34,BTS IS BACK,
35,LEE HAECHAN,
36,GITU DOANG,
37,Ultimate Bias,
38,P'Tay,
39,Rimar,
40,Burung,
41,Komnas HAM,
42,Nunggu 1,
43,Sunda Empire,
44,Keju,
45,Jeon Wonwoo,
46,Bu Risma,
47,11.00 WIB,
48,kim yerim,
49,,
