,topic_Jeddah,tweet_volume_Jeddah
0,#BTS_Butter,389614
1,14 رمضان,110296
2,أبها,31220
3,حائل,30967
4,#رويه_السعوديه_2030,29890
5,#يوم_المثليات_العالمي,28566
6,عمان,27327
7,مكة المكرمة,25938
8,#مسابقه_المربع_نت14,25127
9,#المطيري_يخدع_متابعينه,24395
10,#حق_هديل_الحارثي,20953
11,#الطايف_الان,19905
12,#مقاطعه_المنتجات_الفرنسيه181,19651
13,#١٤_رمضان_١٤٤٢,17623
14,#اربح_iphone12_من_العبداللطيف,16741
15,#مسابقه_طرق_الرياض14,12989
16,#اذاعه_القران_الكريم,11144
17,#كم_صار_وزنك,10591
18,#الراحل_محمد_عصام_الخميس,
19,#عطر_اخذني_براند_سعودي,
20,#الاذكار_اليوميه_حافظوا_عليها,
21,#اربح_مع_سوالف_رمضان4,
22,#الديره14,
23,بير هداج,
24,زيد بن حارثة,
25,علي صوت المطر,
26,اليوم الاثنين,
27,علي التمام,
28,#عاده_اجتماعيه_لاتعجبك,
29,#الموت_يهدد_طفلي_كل_يوم,
30,#شيماء_سيف_تروج_للبيدوفيليا,
31,#النصر_lلوحدات_دوري_اسيا,
32,#اجواء_lلطايف_الان,
33,#المرحله_الثانويه,
34,#برنامج_فضايي14,
35,#وش_افضل_جوال,
36,#تزود_بالخير14,
37,#مسلسل_بصير14,
38,#مسابقه_ذاكره_وطن_رمضان2021_س14,
39,#تعلمت_من_lلحياه,
40,#كلام_قي_الخاطر_ودكم_تقولونه,
41,#اليوم_العالمي_للمعجب_السري,
42,#وينك_يالمعجب_السري,
43,#مسابقه_البسامي_الدوليه,
44,#معنف_الهامستر_يحيي,
45,#فكرتك_للسوق,
46,#مسابقه_حراج14_ايفون12,
47,,
48,,
49,,
