,topic,tweet_volume
0,Butter,1654782
1,Spotify,774156
2,Boring,530697
3,jungkook,456056
4,President,381427
5,namjoon,358422
6,Queen,260221
7,West,254593
8,Jake,252464
9,WhatsApp,243071
10,Bestie,227434
11,Pink,214468
12,Hero,177881
13,WHAT'S MELTING,176429
14,Yellow,140614
15,Bangtan,132642
16,#Every27thWithLOEY,112151
17,Sehun,109410
18,hobi,95783
19,soobin,95497
20,Majority,73554
21,BTSARMY RUN FOR BTS,72540
22,Useless,65793
23,ariana,59986
24,jhope,54511
25,McDonalds,52676
26,Iftar,41681
27,Constitution,32261
28,Madam,24949
29,eunwoo,23408
30,Judges,22701
31,#JusticeQaziFaezIsa,15328
32,#StudentsKaDushmanImranKhan,14042
33,Varane,13502
34,Aunty,12617
35,Judiciary,12230
36,#SupremeCourt,12222
37,#DGISPR,
38,reham khan,
39,Mansoor,
40,Supreme Judicial Council,
41,Buzdar,
42,Roza,
43,pashto,
44,Waise,
45,Waziristan,
46,Tenks,
47,Mian,
48,MA SHA ALLAH,
49,Maghrib,
