,topic_Kawasaki,tweet_volume_Kawasaki
0,Butter,1318174
1,WHAT'S MELTING,166984
2,このちゃん,70682
3,ミスクレーン,61244
4,Aqours,50706
5,サン宝石,39505
6,ソロモン,35569
7,公開延期,30587
8,ファイナル,29298
9,えっちゃん,23729
10,#あんスタの一番の思い出,19990
11,ピンクムーン,19255
12,ハサウェイ延期,18330
13,他県外出,12411
14,陳宮メドレー,12236
15,クレーンさん,11782
16,Daisuke,11704
17,#稲垣吾郎,11137
18,医療関係者,10769
19,#konokatalk,
20,#Mリーグ,
21,#カリーライスチャレンジ,
22,デジタルシングル,
23,隕石衝突の可能性,
24,のちゃん誕生日,
25,GoToイート発売,
26,憤りの声,
27,matomeHub,
28,地鳴り・地響き・家,
29,ツイート多数,
30,エレちゃん,
31,BTSの魅力,
32,ニトちゃん,
33,有働さん,
34,なずなくん,
35,制服参戦,
36,カナタくん,
37,ニトクリス,
38,風磨くん入所13周年,
39,虹3rd,
40,GoTo食事券,
41,後藤さん,
42,櫻井キャスター,
43,ポテサラ,
44,木のハンガー,
45,フィジカル音盤,
46,レジライブ,
47,金券配布,
48,#njdontaku,
49,,
