,topic_Korea,tweet_volume_Korea
0,#BTS_Butter,470378
1,디지털 싱글,100094
2,버터버터,56802
3,#아무도_믿지않을_거짓말을_말해보자,
4,나비소녀,
5,당신의남은수,
6,나즈나 생일,
7,구슬아이스크림,
8,#윈윈버블,
9,실물 음반,
10,성지순례,
11,#아이린버블,
12,#트친들이_믿지_못할_사실을_말해보자,
13,카리스마,
14,노랑노랑,
15,몰티져스,
16,한시간동안,
17,게임이면,
18,하트모양,
19,방탄티비,
20,니쨩 생일,
21,카운트다운,
22,실물앨범,
23,쿠킹게임,
24,방탄소년단의 매력,
25,천러 베레모,
26,마멜잠옷,
27,탐라 포지션,
28,사쿠란보,
29,섹시컨셉,
30,청량섹시,
31,보링 버전,
32,천러 너무,
33,트랙리스트,
34,스키틀즈,
35,게임 광고,
36,베이커리,
37,유튜브 서버,
38,최애 반응,
39,만약 탈트,
40,표창장 관리,
41,상장대장,
42,중국당면,
43,공주침대,
44,대사 초성,
45,천사같은얼굴,
46,토끼슬리퍼 차림,
47,분홍색 극세사,
48,오두방정,
49,목이버섯,
