,topic_Krasnoyarsk,tweet_volume_Krasnoyarsk
0,Covid,2677201
1,#BTSARMY,1238363
2,Spotify,797388
3,#BTS_Butter,389614
4,Queen,269751
5,AstraZeneca,78459
6,#LesbianVisibilityDay,71289
7,в 2021,17780
8,BE WITH ME MV SOON,10625
9,МАСЛО,
10,Дзержинскому,
11,Романтика,
12,Прокуратура Москвы,
13,чернобыльской аэс,
14,#внутрилапенко,
15,Лубянской,
16,#меладзенавкфест,
17,Константин,
18,Дудь,
19,мид рф,
20,DOXA,
21,Антона,
22,Примите,
23,Дудя,
24,Арсений,
25,Штабы Навального,
26,колумбо,
27,Подмосковье,
28,феликса,
29,держись,
30,Соболезную,
31,риа новости,
32,ГУЛАГ,
33,Единая Россия,
34,Путиным,
35,Фонда,
36,воронеже,
37,держитесь,
38,В Петербурге,
39,Международный,
40,Серёжа,
41,Согласен,
42,Соболезнования,
43,Италии,
44,российской федерации,
45,Тверской,
46,Горошко,
47,ЧАЭС,
48,коап,
49,японии,
