,topic_Kuala Lumpur,tweet_volume_Kuala Lumpur
0,Butter,1507499
1,Dynamite,961737
2,Comeback,829775
3,jaemin,338509
4,HYBE,329686
5,bighit,253424
6,MY HEART,246363
7,haechan,220653
8,NEW SINGLE,192733
9,Chanyeol,176259
10,WHAT'S MELTING,172914
11,CHENLE,156431
12,Bangtan,133126
13,Armys,120927
14,sehun,97909
15,soobin,95914
16,#Every27thWithLOEY,95282
17,hanbin,88765
18,MIXED UP,81823
19,Irene,73465
20,#BoringJalapeño_Day2,71851
21,joon,68691
22,ASMR,67196
23,Leon,60382
24,K and EJ,56080
25,Michelle,52337
26,McDonalds,52326
27,EXCUSE ME,49904
28,jihyo,42846
29,WJSN,36110
30,SOTY,35877
31,#GuessWho_MVTeaser1,35457
32,#LOEYxStudioNNG,35165
33,ITZY IS DIFFERENT,34315
34,Betty,33881
35,seulgi,29943
36,minghao,28033
37,minhyun,16786
38,IM SO EXCITED,14277
39,Wellington,11035
40,#ProjekAnchorSPM,
41,Deputy IGP,
42,Hilmi,
43,Gordon Ramsay,
44,pdpr,
45,P'Tay,
46,jung wheein,
47,youngk,
48,Changsub,
49,PDRM,
