,topic,tweet_volume
0,ايفون,271633
1,علي محمد,202430
2,ايران,174552
3,14 رمضان,115075
4,سناب,60884
5,السيسي,26358
6,#ماهو_سر_نجاح_الزواج,24199
7,اسرائيل,23432
8,#حق_هديل_الحارثي,22921
9,تركيا,22649
10,البحرين,20434
11,#جوايز_محسن_الدقله,18776
12,علي الاقل,11730
13,اليوتيوب,11550
14,صالح الاعمال,
15,المراقبه المروريه,
16,#النايب_البنغالي,
17,#مع_حمد_قصص,
18,تشيلسي,
19,اللغه العربيه,
20,رضا الناس,
21,علي المعلومه,
22,صالح القاك,
23,مري بنا,
24,طاليس الملطي,
25,الجرعه الثانيه,
26,علي الوصل,
27,Kuwait,
28,المسلمات الاحياء,
29,عقب الفطور,
30,علي الفطور,
31,,
32,,
33,,
34,,
35,,
36,,
37,,
38,,
39,,
40,,
41,,
42,,
43,,
44,,
45,,
46,,
47,,
48,,
49,,
