,topic,tweet_volume
0,Butter,1766836
1,WHAT'S MELTING,179920
2,このちゃん,71074
3,にーちゃん,64825
4,ミスクレーン,62652
5,Aqours,52436
6,サン宝石,40530
7,#星のカービィ29周年,26262
8,えっちゃん,24085
9,#仁兎なずな誕生祭2021,20980
10,ピンクムーン,20120
11,#星野源,15888
12,#不思議,14427
13,陳宮メドレー,12894
14,Daisuke,12205
15,クレーンさん,12192
16,医療関係者,11260
17,#関ジャニクロニクルF,10634
18,#松田好花生誕祭,
19,#ビビらせ邸,
20,デジタルシングル,
21,隕石衝突の可能性,
22,GoToイート発売,
23,憤りの声,
24,のちゃん誕生日,
25,matomeHub,
26,地鳴り・地響き・家,
27,ツイート多数,
28,ワールズエッジ,
29,ゲームプレイトレーラー,
30,エレちゃん,
31,BTSの魅力,
32,後藤さん,
33,なずなくん,
34,GoTo食事券,
35,カナタくん,
36,風磨くん入所13周年,
37,ボセックボウ,
38,ニトちゃん,
39,有働さん,
40,ニトクリス,
41,木のハンガー,
42,レジライブ,
43,制服参戦,
44,虹3rd,
45,櫻井キャスター,
46,フィジカル音盤,
47,#菊池風磨入所13周年,
48,#odoriba954,
49,#月曜から夜ふかし,
