,topic_Lagos,tweet_volume_Lagos
0,Daniel Kaluuya,199430
1,Success,176991
2,Henry,119136
3,#Airdrop,115118
4,#MondayMotivation,102613
5,#EricaxLatiziaMagazine,73651
6,Boko Haram,58056
7,marriage,54466
8,Dave,48506
9,Shearer,31405
10,#DearOzo,28306
11,Ramos,25804
12,ACTRESS ERICA,25334
13,OZOEMENA CHUKWU,25302
14,ANTICIPATE THE WIG,19527
15,Rivers,18836
16,Hulk,16960
17,Kaduna State University,15700
18,Nigerian Army,15393
19,Mazi,14779
20,Varane,13445
21,Borno,12588
22,Bailly,12163
23,Rooney,12087
24,Nigerian Airforce,11996
25,International Tbaj,11980
26,Bundesliga,11850
27,shall we begin,11755
28,Igbariam,10839
29,Tutu,10809
30,Okada,10655
31,Blaqbonez,10298
32,Geidam,10114
33,#SlayMovieOnNetflix,
34,#HeistOro,
35,Iyana Iba,
36,NURTW,
37,Niger Delta,
38,Anambra,
39,Lasu,
40,Igbos,
41,Baddo,
42,Nasty C,
43,UY SCUTI,
44,Giggs,
45,Goro,
46,#sexoverlove,
47,#PrimalNetwork,
48,#2DaysToTheWig,
49,,
