,topic,tweet_volume
0,#COVID19,522432
1,#Oscars2021,195125
2,Ramadan,139074
3,taylor,127303
4,#coronavirus,83976
5,Bayern,49769
6,Arab,45512
7,Syria,20003
8,#لبنان,19007
9,#ايران,18040
10,Palestine,17907
11,#الامارات,12208
12,#صوتك_عادل,
13,#انسحاب_الجيش_السوري,
14,#٢٦_نيسان,
15,Grand Factory,
16,#روسيا,
17,Lebanese,
18,Beirut,
19,#بطوله_الحفافي,
20,#Lebanon,
21,#سوريا,
22,,
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,
31,,
32,,
33,,
34,,
35,,
36,,
37,,
38,,
39,,
40,,
41,,
42,,
43,,
44,,
45,,
46,,
47,,
48,,
49,,
