,topic_Lille,tweet_volume_Lille
0,#ENHYPEN,1538971
1,Butter,966674
2,#BORDER_CARNIVAL,888679
3,#엔하이픈,669277
4,#Drunk_Dazed,404063
5,Oscars 2021,246127
6,WHAT'S MELTING,159546
7,Bangtan,121511
8,Henry,115537
9,#MondayMotivation,97962
10,ASMR,64071
11,#LesbianVisibilityDay,62281
12,McDonald,62100
13,Selena Gomez,56133
14,#Nomadland,33830
15,West Side Story,26379
16,Spielberg,21038
17,L'école,19024
18,Vidal,17037
19,Ratchet & Clank,10375
20,#Top5Winamax,
21,Beurre,
22,Danette,
23,Kimpembe,
24,L'ADN,
25,#rentreescolaire,
26,Blachier,
27,#WorldIPDay,
28,Cned,
29,melun,
30,Alice Coffin,
31,Buttes Chaumont,
32,Visio,
33,Naps,
34,Russes,
35,#Tchernobyl,
36,#webinar,
37,#MondayMoji,
38,#BlanquerDemission,
39,#lundifleuri,
40,#etudiants,
41,#BoomeriseUnTitre,
42,#ggrmc,
43,#LundiMotivation,
44,,
45,,
46,,
47,,
48,,
49,,
